Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Request day
619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,11,Monday
867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,17,Monday
1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,9,Wednesday
2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,21,Wednesday
267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,6,Monday
1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,5,Wednesday
1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,12,Wednesday
535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,10,Monday
960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,18,Monday
1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,11,Wednesday
2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,15,Wednesday
2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,18,Wednesday
669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,13,Monday
1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,6,Wednesday
1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,9,Wednesday
2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,16,Wednesday
312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,7,Monday
577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,11,Monday
1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,20,Monday
1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,8,Wednesday
2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,14,Wednesday
2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,21,Wednesday
1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,5,Wednesday
1999,Airport,6.0,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,13,Wednesday
1039,City,7.0,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,19,Monday
1273,Airport,7.0,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,22,Monday
2480,City,7.0,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,20,Wednesday
380,Airport,8.0,Trip Completed,2016-11-07 08:18:00,2016-11-07 09:18:00,8,Monday
1050,Airport,8.0,Trip Completed,2016-11-07 19:39:00,2016-11-07 20:30:00,19,Monday
1769,City,8.0,Trip Completed,2016-12-07 08:57:00,2016-12-07 09:24:00,8,Wednesday
2520,City,8.0,Trip Completed,2016-12-07 21:05:00,2016-12-07 22:20:00,21,Wednesday
449,Airport,9.0,Trip Completed,2016-11-07 09:08:00,2016-11-07 09:52:00,9,Monday
846,Airport,9.0,Trip Completed,2016-11-07 17:46:00,2016-11-07 18:52:00,17,Monday
1346,Airport,9.0,Trip Completed,2016-11-07 23:39:00,2016-12-07 00:23:00,23,Monday
1474,Airport,9.0,Trip Completed,2016-12-07 05:13:00,2016-12-07 05:56:00,5,Wednesday
2240,City,9.0,Trip Completed,2016-12-07 18:20:00,2016-12-07 18:54:00,18,Wednesday
1809,Airport,10.0,Trip Completed,2016-12-07 09:13:00,2016-12-07 10:01:00,9,Wednesday
2064,Airport,10.0,Trip Completed,2016-12-07 15:08:00,2016-12-07 16:14:00,15,Wednesday
2030,City,11.0,Trip Completed,2016-12-07 14:11:00,2016-12-07 15:02:00,14,Wednesday
45,Airport,12.0,Trip Completed,2016-11-07 03:17:00,2016-11-07 04:09:00,3,Monday
264,City,12.0,Trip Completed,2016-11-07 06:51:00,2016-11-07 07:40:00,6,Monday
1183,City,12.0,Trip Completed,2016-11-07 21:05:00,2016-11-07 21:38:00,21,Monday
1536,Airport,12.0,Trip Completed,2016-12-07 05:59:00,2016-12-07 06:59:00,5,Wednesday
2437,City,12.0,Trip Completed,2016-12-07 20:18:00,2016-12-07 21:26:00,20,Wednesday
2641,Airport,12.0,Trip Completed,2016-12-07 22:28:00,2016-12-07 23:05:00,22,Wednesday
155,City,13.0,Trip Completed,2016-11-07 05:32:00,2016-11-07 06:28:00,5,Monday
310,Airport,13.0,Trip Completed,2016-11-07 07:24:00,2016-11-07 08:28:00,7,Monday
607,City,13.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 12:42:00,11,Monday
1012,City,13.0,Trip Completed,2016-11-07 19:15:00,2016-11-07 19:57:00,19,Monday
1696,Airport,13.0,Trip Completed,2016-12-07 08:01:00,2016-12-07 08:42:00,8,Wednesday
139,Airport,14.0,Trip Completed,2016-11-07 05:21:00,2016-11-07 06:09:00,5,Monday
215,City,14.0,Trip Completed,2016-11-07 06:15:00,2016-11-07 07:07:00,6,Monday
1816,City,14.0,Trip Completed,2016-12-07 09:24:00,2016-12-07 10:07:00,9,Wednesday
2505,Airport,14.0,Trip Completed,2016-12-07 21:03:00,2016-12-07 22:14:00,21,Wednesday
1027,Airport,15.0,Trip Completed,2016-11-07 19:18:00,2016-11-07 20:24:00,19,Monday
2675,Airport,15.0,Trip Completed,2016-12-07 23:43:00,,23,Wednesday
591,City,16.0,Trip Completed,2016-11-07 11:25:00,2016-11-07 12:31:00,11,Monday
709,City,16.0,Trip Completed,2016-11-07 14:16:00,2016-11-07 15:03:00,14,Monday
1167,Airport,16.0,Trip Completed,2016-11-07 20:50:00,2016-11-07 21:52:00,20,Monday
2661,Airport,16.0,Trip Completed,2016-12-07 23:23:00,,23,Wednesday
634,City,17.0,Trip Completed,2016-11-07 12:25:00,2016-11-07 13:06:00,12,Monday
939,Airport,17.0,Trip Completed,2016-11-07 18:25:00,2016-11-07 19:26:00,18,Monday
2628,Airport,17.0,Trip Completed,2016-12-07 22:10:00,2016-12-07 23:25:00,22,Wednesday
499,City,18.0,Trip Completed,2016-11-07 09:39:00,2016-11-07 10:16:00,9,Monday
1147,Airport,18.0,Trip Completed,2016-11-07 20:42:00,2016-11-07 21:18:00,20,Monday
1410,Airport,18.0,Trip Completed,2016-12-07 03:14:00,2016-12-07 04:27:00,3,Wednesday
1804,Airport,18.0,Trip Completed,2016-12-07 09:12:00,2016-12-07 09:57:00,9,Wednesday
1949,Airport,18.0,Trip Completed,2016-12-07 11:32:00,2016-12-07 12:13:00,11,Wednesday
494,City,19.0,Trip Completed,2016-11-07 09:36:00,2016-11-07 10:02:00,9,Monday
1485,City,19.0,Trip Completed,2016-12-07 05:21:00,2016-12-07 06:35:00,5,Wednesday
2042,City,19.0,Trip Completed,2016-12-07 14:30:00,2016-12-07 15:09:00,14,Wednesday
2561,Airport,19.0,Trip Completed,2016-12-07 21:29:00,2016-12-07 22:44:00,21,Wednesday
468,City,20.0,Trip Completed,2016-11-07 09:20:00,2016-11-07 10:05:00,9,Monday
693,Airport,20.0,Trip Completed,2016-11-07 13:51:00,2016-11-07 15:01:00,13,Monday
1178,City,20.0,Trip Completed,2016-11-07 21:05:00,2016-11-07 22:06:00,21,Monday
2103,City,20.0,Trip Completed,2016-12-07 16:08:00,2016-12-07 17:18:00,16,Wednesday
2292,Airport,20.0,Trip Completed,2016-12-07 18:46:00,2016-12-07 19:23:00,18,Wednesday
1895,City,21.0,Trip Completed,2016-12-07 10:20:00,2016-12-07 10:52:00,10,Wednesday
1981,Airport,21.0,Trip Completed,2016-12-07 12:23:00,2016-12-07 12:56:00,12,Wednesday
110,City,22.0,Trip Completed,2016-11-07 05:05:00,2016-11-07 06:06:00,5,Monday
362,City,22.0,Trip Completed,2016-11-07 08:01:00,2016-11-07 09:18:00,8,Monday
666,Airport,22.0,Trip Completed,2016-11-07 13:02:00,2016-11-07 13:45:00,13,Monday
926,City,22.0,Trip Completed,2016-11-07 18:28:00,2016-11-07 19:34:00,18,Monday
1180,Airport,22.0,Trip Completed,2016-11-07 21:01:00,2016-11-07 22:14:00,21,Monday
1900,City,22.0,Trip Completed,2016-12-07 10:32:00,2016-12-07 11:42:00,10,Wednesday
2506,City,22.0,Trip Completed,2016-12-07 21:01:00,2016-12-07 21:38:00,21,Wednesday
523,Airport,23.0,Trip Completed,2016-11-07 09:48:00,2016-11-07 10:37:00,9,Monday
747,City,23.0,Trip Completed,2016-11-07 15:53:00,2016-11-07 16:43:00,15,Monday
1371,Airport,23.0,Trip Completed,2016-12-07 00:22:00,2016-12-07 01:33:00,0,Wednesday
1553,City,23.0,Trip Completed,2016-12-07 06:09:00,2016-12-07 07:09:00,6,Wednesday
1692,Airport,23.0,Trip Completed,2016-12-07 07:52:00,2016-12-07 09:01:00,7,Wednesday
2114,City,23.0,Trip Completed,2016-12-07 16:36:00,2016-12-07 17:21:00,16,Wednesday
357,Airport,24.0,Trip Completed,2016-11-07 08:00:00,2016-11-07 09:08:00,8,Monday
1068,City,24.0,Trip Completed,2016-11-07 19:52:00,2016-11-07 20:48:00,19,Monday
773,City,25.0,Trip Completed,2016-11-07 16:23:00,2016-11-07 17:21:00,16,Monday
1123,City,25.0,Trip Completed,2016-11-07 20:20:00,2016-11-07 21:18:00,20,Monday
2667,Airport,25.0,Trip Completed,2016-12-07 23:35:00,,23,Wednesday
322,City,26.0,Trip Completed,2016-11-07 07:31:00,2016-11-07 08:10:00,7,Monday
793,City,26.0,Trip Completed,2016-11-07 17:04:00,2016-11-07 18:06:00,17,Monday
898,Airport,26.0,Trip Completed,2016-11-07 18:14:00,2016-11-07 19:09:00,18,Monday
1258,City,26.0,Trip Completed,2016-11-07 21:51:00,2016-11-07 23:00:00,21,Monday
204,City,27.0,Trip Completed,2016-11-07 06:04:00,2016-11-07 06:44:00,6,Monday
632,Airport,27.0,Trip Completed,2016-11-07 12:20:00,2016-11-07 13:10:00,12,Monday
763,City,27.0,Trip Completed,2016-11-07 16:19:00,2016-11-07 17:25:00,16,Monday
